min F=2; num_slices=100; num_pts=200
angle,B_x,B_y,B_z,band number,Wien2k band number,spin dirn,branch,area [Angstrom^-2],freq [T],k_x,k_y,k_z,k_parallel,slicenum,inplane dk (Angstrom^-1),dF/dkpara^2,mass (m_e),df/dM [T/(mu_B/f.u.)],freq [kT],freq*cos(angle) [kT]
4.000000000000000000e+00,0.000000000000000000e+00,-6.975647000000000100e-02,9.975640999999999500e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,1.410019000000000000e+03,-8.130610000000000300e-01,8.188292000000000300e-01,-2.526126000000000200e-01,-3.091159000000000000e-01,2.700000000000000000e+01,1.800701999999999900e-02,-2.459586999999999900e+04,8.233352000000000400e-01,0.000000000000000000e+00,1.410018999999999900e+00,1.406584264583306900e+00
4.000000000000000000e+00,0.000000000000000000e+00,-6.975647000000000100e-02,9.975640999999999500e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,1.409886999999999900e+03,-8.219703000000000400e-01,8.177948000000000400e-01,2.513121999999999900e-01,1.936535000000000100e-01,7.200000000000000000e+01,1.800701999999999900e-02,-2.351059999999999900e+04,8.285033000000000500e-01,0.000000000000000000e+00,1.409886999999999900e+00,1.406452586128672700e+00
4.000000000000000000e+00,0.000000000000000000e+00,-6.975647000000000100e-02,9.975640999999999500e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,1.409953000000000000e+03,8.140363999999999900e-01,8.183783999999999500e-01,-2.518039999999999700e-01,-3.082777999999999900e-01,2.700000000000000000e+01,1.800701999999999900e-02,-2.321974000000000200e+04,8.290214000000000200e-01,0.000000000000000000e+00,1.409953000000000000e+00,1.406518425355989900e+00
4.000000000000000000e+00,0.000000000000000000e+00,-6.975647000000000100e-02,9.975640999999999500e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,1.410017000000000100e+03,8.182926000000000400e-01,8.175322999999999900e-01,2.510987000000000100e-01,1.934588999999999900e-01,7.200000000000000000e+01,1.800701999999999900e-02,-2.442791000000000000e+04,8.225194999999999600e-01,0.000000000000000000e+00,1.410017000000000100e+00,1.406582269455206600e+00
5.000000000000000000e+00,0.000000000000000000e+00,-8.715573999999999500e-02,9.961946999999999900e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.411929000000000100e+03,8.190496000000000400e-01,-8.226398999999999800e-01,-2.526867999999999900e-01,-1.800274000000000000e-01,3.900000000000000000e+01,1.800467999999999900e-02,-2.312686000000000100e+04,8.220796999999999700e-01,0.000000000000000000e+00,1.411929000000000000e+00,1.406556183881980200e+00
5.000000000000000000e+00,0.000000000000000000e+00,-8.715573999999999500e-02,9.961946999999999900e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.411987000000000100e+03,8.116322999999999700e-01,-8.197379999999999700e-01,2.519568999999999800e-01,3.224429999999999800e-01,8.300000000000000000e+01,1.800467999999999900e-02,-2.389216999999999800e+04,8.243968999999999900e-01,0.000000000000000000e+00,1.411987000000000100e+00,1.406613963174469600e+00
5.000000000000000000e+00,0.000000000000000000e+00,-8.715573999999999500e-02,9.961946999999999900e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.411987000000000100e+03,-8.244380000000000000e-01,-8.198322000000000100e-01,-2.523934999999999900e-01,-1.799800000000000000e-01,3.900000000000000000e+01,1.800467999999999900e-02,-2.370959000000000000e+04,8.229003000000000300e-01,0.000000000000000000e+00,1.411987000000000100e+00,1.406613963174469600e+00
5.000000000000000000e+00,0.000000000000000000e+00,-8.715573999999999500e-02,9.961946999999999900e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.411931000000000000e+03,-8.173011999999999500e-01,-8.230416999999999900e-01,2.513426999999999700e-01,3.221189999999999900e-01,8.300000000000000000e+01,1.800467999999999900e-02,-2.407674000000000200e+04,8.242059000000000500e-01,0.000000000000000000e+00,1.411931000000000000e+00,1.406558176271376400e+00
5.000000000000000000e+00,0.000000000000000000e+00,-8.715573999999999500e-02,9.961946999999999900e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,1.411912000000000000e+03,-8.167449000000000000e-01,8.201026000000000100e-01,-2.524265000000000000e-01,-3.229426000000000200e-01,2.600000000000000000e+01,1.800467999999999900e-02,-2.378129000000000100e+04,8.227754000000000500e-01,0.000000000000000000e+00,1.411912000000000100e+00,1.406539248572112700e+00
5.000000000000000000e+00,0.000000000000000000e+00,-8.715573999999999500e-02,9.961946999999999900e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,1.411962000000000000e+03,-8.237712000000000400e-01,8.202201000000000100e-01,2.526572000000000300e-01,1.802089000000000100e-01,7.000000000000000000e+01,1.800467999999999900e-02,-2.405575999999999800e+04,8.230315000000000300e-01,0.000000000000000000e+00,1.411961999999999900e+00,1.406589058307017100e+00
