file FFTd=BaFe2P2_AngleSweep_40.dat
Selected B range, Bmin=6.040 T Bmax=7.000 T
Subtracted Poly order =5
Padding =8
F[T]	Amp
 1.49079455693563E+0003	 1.33188051053652E-0004
 1.49524468994140E+0003	 1.30576587433214E-0004
 1.49969482294718E+0003	 1.28158410079408E-0004
 1.50414495595296E+0003	 1.26129267699687E-0004
 1.50859508895874E+0003	 1.24584813496758E-0004
 1.51304522196452E+0003	 1.23572981817588E-0004
 1.51749535497029E+0003	 1.23138331451804E-0004
 1.52194548797607E+0003	 1.23346220058267E-0004
 1.52639562098185E+0003	 1.24282268503036E-0004
 1.53084575398763E+0003	 1.26030749015555E-0004
 1.53529588699341E+0003	 1.28642044755467E-0004
 1.53974601999918E+0003	 1.32102346328393E-0004
 1.54419615300496E+0003	 1.36316839454461E-0004
 1.54864628601074E+0003	 1.41111334223004E-0004
 1.55309641901652E+0003	 1.46249862477579E-0004
 1.55754655202230E+0003	 1.51461084736063E-0004
 1.56199668502807E+0003	 1.56465865509141E-0004
 1.56644681803385E+0003	 1.61000732140668E-0004
 1.57089695103963E+0003	 1.64834886376073E-0004
 1.57534708404541E+0003	 1.67780601720137E-0004
 1.57979721705119E+0003	 1.69697948445546E-0004
 1.58424735005696E+0003	 1.70495152720995E-0004
 1.58869748306274E+0003	 1.70125897616823E-0004
 1.59314761606852E+0003	 1.68584760300528E-0004
 1.59759774907430E+0003	 1.65901862538616E-0004
 1.60204788208008E+0003	 1.62137717788827E-0004
 1.60649801508585E+0003	 1.57379178517999E-0004
 1.61094814809163E+0003	 1.51737303764394E-0004
 1.61539828109741E+0003	 1.45347861555323E-0004
 1.61984841410319E+0003	 1.38375028165981E-0004
 1.62429854710897E+0003	 1.31018581584060E-0004
 1.62874868011474E+0003	 1.23524336393368E-0004
 1.63319881312052E+0003	 1.16196336434873E-0004
 1.63764894612630E+0003	 1.09406713660710E-0004
 1.64209907913208E+0003	 1.03594476788281E-0004
 1.64654921213786E+0003	 9.92389137942796E-0005
 1.65099934514363E+0003	 9.67932683765885E-0005
 1.65544947814941E+0003	 9.65819768771885E-0005
 1.65989961115519E+0003	 9.87008525507001E-0005
 1.66434974416097E+0003	 1.02979528157666E-0004
 1.66879987716675E+0003	 1.09030042584278E-0004
 1.67325001017252E+0003	 1.16344585767513E-0004
 1.67770014317830E+0003	 1.24386681449881E-0004
 1.68215027618408E+0003	 1.32648051253505E-0004
 1.68660040918986E+0003	 1.40673778941268E-0004
 1.69105054219564E+0003	 1.48069099293384E-0004
 1.69550067520141E+0003	 1.54498840567595E-0004
 1.69995080820719E+0003	 1.59685504559020E-0004
 1.70440094121297E+0003	 1.63408346787315E-0004
 1.70885107421875E+0003	 1.65503940038408E-0004
 1.71330120722453E+0003	 1.65867910870444E-0004
 1.71775134023030E+0003	 1.64457278320402E-0004
 1.72220147323608E+0003	 1.61292792831216E-0004
 1.72665160624186E+0003	 1.56460729565011E-0004
 1.73110173924764E+0003	 1.50113667705622E-0004
 1.73555187225342E+0003	 1.42469841480620E-0004
 1.74000200525919E+0003	 1.33810621713777E-0004
 1.74445213826497E+0003	 1.24475480367530E-0004
 1.74890227127075E+0003	 1.14853249108182E-0004
 1.75335240427653E+0003	 1.05367436691595E-0004
 1.75780253728231E+0003	 9.64518891252224E-0005
 1.76225267028808E+0003	 8.85121885930097E-0005
 1.76670280329386E+0003	 8.18709090515140E-0005
 1.77115293629964E+0003	 7.67053859066271E-0005
 1.77560306930542E+0003	 7.30035566789100E-0005
 1.78005320231120E+0003	 7.05706594495766E-0005
 1.78450333531697E+0003	 6.90982573900947E-0005
 1.78895346832275E+0003	 6.82688072652636E-0005
 1.79340360132853E+0003	 6.78513274117162E-0005
 1.79785373433431E+0003	 6.77581576734604E-0005
 1.80230386734009E+0003	 6.80548412719564E-0005
 1.80675400034586E+0003	 6.89257690462005E-0005
 1.81120413335164E+0003	 7.06022962492985E-0005
 1.81565426635742E+0003	 7.32698653475635E-0005
 1.82010439936320E+0003	 7.69854052536230E-0005
 1.82455453236898E+0003	 8.16380933973272E-0005
 1.82900466537475E+0003	 8.69642792991155E-0005
 1.83345479838053E+0003	 9.25986761499078E-0005
 1.83790493138631E+0003	 9.81339619642699E-0005
 1.84235506439209E+0003	 1.03170447481715E-0004
 1.84680519739787E+0003	 1.07350675142772E-0004
 1.85125533040364E+0003	 1.10381033032658E-0004
 1.85570546340942E+0003	 1.12044016773981E-0004
 1.86015559641520E+0003	 1.12203932708443E-0004
 1.86460572942098E+0003	 1.10807704895082E-0004
 1.86905586242676E+0003	 1.07881702578390E-0004
 1.87350599543253E+0003	 1.03525162662703E-0004
 1.87795612843831E+0003	 9.79006993792556E-0005
 1.88240626144409E+0003	 9.12224390866275E-0005
 1.88685639444987E+0003	 8.37424034843512E-0005
 1.89130652745565E+0003	 7.57358341721920E-0005
 1.89575666046142E+0003	 6.74861692523299E-0005
 1.90020679346720E+0003	 5.92703214173312E-0005
 1.90465692647298E+0003	 5.13447450254383E-0005
 1.90910705947876E+0003	 4.39325103142832E-0005
 1.91355719248454E+0003	 3.72112765260361E-0005
 1.91800732549031E+0003	 3.13018860669436E-0005
 1.92245745849609E+0003	 2.62578157186307E-0005
 1.92690759150187E+0003	 2.20576496502503E-0005
 1.93135772450765E+0003	 1.86059029426064E-0005
 1.93580785751343E+0003	 1.57488600815742E-0005
 1.94025799051920E+0003	 1.33069392811375E-0005
 1.94470812352498E+0003	 1.11152631027699E-0005
 1.94915825653076E+0003	 9.06140820926211E-0006
 1.95360838953654E+0003	 7.12383341962937E-0006
 1.95805852254232E+0003	 5.45054353896407E-0006
 1.96250865554809E+0003	 4.53892634371572E-0006
 1.96695878855387E+0003	 5.08561866064280E-0006
 1.97140892155965E+0003	 6.96441320187465E-0006
 1.97585905456543E+0003	 9.59625953548867E-0006
 1.98030918757121E+0003	 1.26814923762165E-0005
 1.98475932057698E+0003	 1.61104224383356E-0005
 1.98920945358276E+0003	 1.98382443074353E-0005
 1.99365958658854E+0003	 2.38342058719693E-0005
 1.99810971959432E+0003	 2.80601519188698E-0005
 2.00255985260010E+0003	 3.24608882969380E-0005
 2.00700998560587E+0003	 3.69615395107023E-0005
 2.01146011861165E+0003	 4.14706796396716E-0005
 2.01591025161743E+0003	 4.58888651615248E-0005
 2.02036038462321E+0003	 5.01222032775165E-0005
 2.02481051762899E+0003	 5.41002274519223E-0005
 2.02926065063476E+0003	 5.77966272522235E-0005
 2.03371078364054E+0003	 6.12501115683882E-0005
 2.03816091664632E+0003	 6.45807114297307E-0005
 2.04261104965210E+0003	 6.79944521065032E-0005
 2.04706118265788E+0003	 7.17681147328568E-0005
 2.05151131566365E+0003	 7.62090263460395E-0005
 2.05596144866943E+0003	 8.15952247365532E-0005
 2.06041158167521E+0003	 8.81155749721109E-0005
 2.06486171468099E+0003	 9.58359812188395E-0005
 2.06931184768677E+0003	 1.04708041402593E-0004
 2.07376198069254E+0003	 1.14617282108508E-0004
 2.07821211369832E+0003	 1.25454754693721E-0004
 2.08266224670410E+0003	 1.37193721781366E-0004
 2.08711237970988E+0003	 1.49956006367171E-0004
 2.09156251271566E+0003	 1.64053586681029E-0004
 2.09601264572143E+0003	 1.79990228108776E-0004
 2.10046277872721E+0003	 1.98410986591558E-0004
 2.10491291173299E+0003	 2.20000094097676E-0004
