Data recorded as Sample1: B00KOD1A_MR_AB_
Osc Amp:  1.10000000000000E+0000	Osc Freq:  3.36600000000000E+0001	Phase:  0.00000000000000E+0000	Time Constant: 9	Conductance Ratio:  1.00000000000000E-0003	Current:  1.10000000000000E-0003
Time(s)	HeLevel(mm)	VTIRes(Ohms)	VTITemp(K)	ProbeRes(Ohms)	ProbeTemp(K)	X(V)	Y(V)	Resistance(Ohms)	Field(T)	Angle(°)
 1.20644583878677E+0002	 5.82291666666667E+0002	 3.19464000000000E+0002	 1.79950000000000E+0001	 4.95677000000000E+0002	 2.49910000000000E+0001	 6.47929000000000E-0003	-3.81472000000000E-0005	 5.89026363636364E+0000	 2.84211000000000E+0000	-4.29000000000000E+0001
 1.22294133192905E+0002	 5.82208333333333E+0002	 3.19590000000000E+0002	 1.79850000000000E+0001	 4.95691000000000E+0002	 2.49900000000000E+0001	 6.47929000000000E-0003	-3.81472000000000E-0005	 5.89026363636364E+0000	 2.88163000000000E+0000	-4.29000000000000E+0001
 1.23969081265915E+0002	 5.82375000000000E+0002	 3.19523000000000E+0002	 1.79900000000000E+0001	 4.95491000000000E+0002	 2.50020000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 2.92077000000000E+0000	-4.29000000000000E+0001
 1.25640109008267E+0002	 5.82416666666667E+0002	 3.19585000000000E+0002	 1.79850000000000E+0001	 4.95373000000000E+0002	 2.50080000000000E+0001	 6.47929000000000E-0003	-3.81472000000000E-0005	 5.89026363636364E+0000	 2.96029000000000E+0000	-4.29000000000000E+0001
 1.27317979240378E+0002	 5.82416666666667E+0002	 3.19586000000000E+0002	 1.79850000000000E+0001	 4.95573000000000E+0002	 2.49970000000000E+0001	 6.47929000000000E-0003	-3.81472000000000E-0005	 5.89026363636364E+0000	 2.99944000000000E+0000	-4.29000000000000E+0001
 1.28982177343769E+0002	 5.82333333333333E+0002	 3.19715000000000E+0002	 1.79740000000000E+0001	 4.95615000000000E+0002	 2.49940000000000E+0001	 6.47929000000000E-0003	-3.81472000000000E-0005	 5.89026363636364E+0000	 3.03821000000000E+0000	-4.29000000000000E+0001
 1.30647351548870E+0002	 5.82416666666667E+0002	 3.19622000000000E+0002	 1.79820000000000E+0001	 4.95586000000000E+0002	 2.49960000000000E+0001	 6.47929000000000E-0003	-3.81472000000000E-0005	 5.89026363636364E+0000	 3.07773000000000E+0000	-4.29000000000000E+0001
 1.32310574947375E+0002	 5.82375000000000E+0002	 3.19632000000000E+0002	 1.79810000000000E+0001	 4.95676000000000E+0002	 2.49910000000000E+0001	 6.47929000000000E-0003	-3.81472000000000E-0005	 5.89026363636364E+0000	 3.11687000000000E+0000	-4.29000000000000E+0001
 1.33979656632337E+0002	 5.82416666666667E+0002	 3.19690000000000E+0002	 1.79760000000000E+0001	 4.95436000000000E+0002	 2.50050000000000E+0001	 6.47929000000000E-0003	-3.81472000000000E-0005	 5.89026363636364E+0000	 3.15639000000000E+0000	-4.29000000000000E+0001
 1.35654598838679E+0002	 5.82458333333333E+0002	 3.19660000000000E+0002	 1.79790000000000E+0001	 4.95455000000000E+0002	 2.50030000000000E+0001	 6.47929000000000E-0003	-3.81472000000000E-0005	 5.89026363636364E+0000	 3.19554000000000E+0000	-4.29000000000000E+0001
