T	B32KOP1 Rho_mr
2.257867755511022096e+02	6.648712030937139472e-01
2.263863587174348879e+02	6.661795095522501375e-01
2.269859418837675378e+02	6.675326534487878716e-01
2.275855250501002160e+02	6.689242262025564267e-01
2.281851082164328659e+02	6.702242478876546672e-01
2.287846913827655442e+02	6.715348462117887163e-01
2.293842745490981940e+02	6.729291054903432379e-01
2.299838577154308723e+02	6.742737297080019232e-01
2.305834408817635506e+02	6.755673981607264178e-01
2.311830240480962004e+02	6.768967799163533305e-01
2.317826072144288787e+02	6.781110039945370538e-01
2.323821903807615286e+02	6.793947073501118705e-01
2.329817735470942068e+02	6.806696074843087141e-01
2.335813567134268567e+02	6.820133308177765974e-01
2.341809398797595350e+02	6.833521553223935729e-01
2.347805230460921848e+02	6.845868976582383247e-01
2.353801062124248631e+02	6.858799925506530171e-01
2.359796893787575414e+02	6.872019145192710399e-01
2.365792725450901912e+02	6.885847080971810863e-01
2.371788557114228695e+02	6.899375440834280004e-01
2.377784388777555193e+02	6.912415797551061392e-01
2.383780220440881976e+02	6.925353192605046004e-01
2.389776052104208475e+02	6.938897599558011553e-01
2.395771883767535257e+02	6.952830053668815902e-01
2.401767715430861756e+02	6.965914798062026181e-01
2.407763547094188539e+02	6.978824510400898351e-01
2.413759378757515037e+02	6.991763964824876387e-01
2.419755210420841820e+02	7.003859354750759936e-01
2.425751042084168603e+02	7.016928442929988297e-01
2.431746873747495101e+02	7.029545201988249836e-01
2.437742705410821884e+02	7.042795038631423088e-01
2.443738537074148383e+02	7.055661123744174645e-01
2.449734368737475165e+02	7.068404935164182001e-01
2.455730200400801664e+02	7.081790750663429224e-01
2.461726032064128447e+02	7.094895118848709714e-01
2.467721863727454945e+02	7.108196852030107538e-01
2.473717695390781728e+02	7.121452236356153875e-01
2.479713527054108226e+02	7.134570304742922087e-01
2.485709358717435009e+02	7.148339840214205099e-01
2.491705190380761792e+02	7.161527457876323277e-01
2.497701022044088290e+02	7.174985015258993348e-01
2.503696853707415073e+02	7.187545197067087832e-01
2.509692685370741572e+02	7.200186147953252513e-01
2.515688517034068354e+02	7.213050259574395051e-01
2.521684348697394853e+02	7.226074559553330445e-01
2.527680180360721636e+02	7.238493690888134768e-01
2.533676012024048134e+02	7.251635025894558328e-01
2.539671843687374917e+02	7.264382065407598565e-01
2.545667675350701415e+02	7.277158921027672145e-01
2.551663507014028198e+02	7.290552216100514293e-01
2.557659338677354981e+02	7.303137282262964769e-01
2.563655170340681480e+02	7.316116218421389039e-01
2.569651002004008546e+02	7.329333441784096070e-01
2.575646833667335045e+02	7.342743672667336741e-01
2.581642665330661544e+02	7.356084290907750622e-01
2.587638496993988042e+02	7.369404119990141666e-01
2.593634328657315109e+02	7.383171712031352252e-01
2.599630160320641608e+02	7.395854169942659428e-01
2.605625991983968106e+02	7.408111359768315696e-01
2.611621823647294605e+02	7.421191306429459900e-01
2.617617655310621672e+02	7.433955879272330369e-01
2.623613486973948170e+02	7.446455820420894156e-01
2.629609318637274669e+02	7.459097757290913400e-01
2.635605150300601736e+02	7.471478157382154262e-01
2.641600981963928234e+02	7.484663132897247939e-01
2.647596813627254733e+02	7.497636854764134773e-01
2.653592645290581231e+02	7.510786478813632483e-01
2.659588476953908298e+02	7.523994698631527589e-01
2.665584308617234797e+02	7.536933758553581164e-01
2.671580140280561295e+02	7.550255369659579774e-01
2.677575971943888362e+02	7.562974582260528766e-01
2.683571803607214861e+02	7.576008054156552207e-01
2.689567635270541359e+02	7.589436601371333246e-01
2.695563466933867858e+02	7.602839630372524304e-01
2.701559298597194925e+02	7.615898410083530301e-01
2.707555130260521423e+02	7.628107206445672306e-01
2.713550961923847922e+02	7.640975106784253512e-01
2.719546793587174420e+02	7.654085895201945267e-01
2.725542625250501487e+02	7.666942371140043067e-01
2.731538456913827986e+02	7.679409335347496812e-01
2.737534288577154484e+02	7.691470721098965235e-01
2.743530120240481551e+02	7.704626145798343373e-01
2.749525951903808050e+02	7.717827673446995274e-01
2.755521783567134548e+02	7.731230362548339174e-01
2.761517615230461615e+02	7.744788441582947103e-01
2.767513446893788114e+02	7.757855044468554562e-01
2.773509278557114612e+02	7.770561132610633859e-01
2.779505110220441111e+02	7.783131875179168935e-01
2.785500941883768178e+02	7.796856646915070188e-01
2.791496773547094676e+02	7.810061488069657276e-01
2.797492605210421175e+02	7.823950295569354063e-01
2.803488436873747673e+02	7.837757635808609846e-01
2.809484268537074740e+02	7.851060915961357578e-01
2.815480100200401239e+02	7.863189612279246621e-01
2.821475931863727737e+02	7.876022084768484754e-01
2.827471763527054804e+02	7.888881723284257852e-01
2.833467595190381303e+02	7.901599801470083895e-01
2.839463426853707801e+02	7.914431384034611439e-01
2.845459258517034300e+02	7.927290958938076892e-01
2.851455090180361367e+02	7.939964439275232211e-01
2.857450921843687865e+02	7.953142189369776238e-01
2.863446753507014364e+02	7.966389079911934124e-01
2.869442585170340863e+02	7.979771735921187270e-01
2.875438416833667929e+02	7.993017802285304896e-01
2.881434248496994428e+02	8.006292863343965616e-01
2.887430080160320927e+02	8.019871071971480525e-01
2.893425911823647994e+02	8.033670453235929321e-01
2.899421743486974492e+02	8.049836575190494337e-01
2.905417575150300991e+02	8.062477713189935002e-01
2.911413406813627489e+02	8.076086661104699971e-01
2.917409238476954556e+02	8.088848378261418448e-01
2.923405070140281055e+02	8.102179944892573538e-01
2.929400901803607553e+02	8.115005325351761778e-01
2.935396733466934620e+02	8.127582124619376902e-01
2.941392565130261119e+02	8.140169589697227037e-01
2.947388396793587617e+02	8.152450030637462541e-01
2.953384228456914116e+02	8.165427339798448925e-01
2.959380060120241183e+02	8.178406652887151296e-01
2.965375891783567681e+02	8.191364770506138759e-01
2.971371723446894180e+02	8.203869299336764565e-01
2.977367555110220678e+02	8.217097160631725572e-01
2.983363386773547745e+02	8.229249544931285243e-01
2.989359218436874244e+02	8.242166297269440944e-01
2.995355050100200742e+02	8.255967036572581241e-01
3.001350881763527809e+02	8.268822389833733189e-01
3.007346713426854308e+02	8.280717225065556963e-01
3.013342545090180806e+02	8.293461422194248200e-01
3.019338376753507305e+02	8.305410233961062483e-01
3.025334208416834372e+02	8.317657700665286313e-01
3.031330040080160870e+02	8.330261227064374996e-01
3.037325871743487369e+02	8.342422283574001396e-01
3.043321703406813867e+02	8.354797583841998554e-01
3.049317535070140934e+02	8.367913468878245276e-01
3.055313366733467433e+02	8.380691119801493283e-01
3.061309198396793931e+02	8.393551882630139183e-01
3.067305030060120998e+02	8.406419448874492550e-01
3.073300861723447497e+02	8.418778840050886725e-01
3.079296693386773995e+02	8.431864394086646675e-01
3.085292525050100494e+02	8.444323269535125576e-01
3.091288356713427561e+02	8.457328397207359849e-01
3.097284188376754059e+02	8.470535629314925874e-01
3.103280020040080558e+02	8.482704860701026917e-01
3.109275851703407056e+02	8.495077024346273653e-01
3.115271683366734123e+02	8.507522872415358428e-01
3.121267515030060622e+02	8.519390537766874383e-01
3.127263346693387120e+02	8.531027921012597215e-01
3.133259178356714187e+02	8.543831811168219881e-01
3.139255010020040686e+02	8.556419491386940690e-01
3.145250841683367184e+02	8.569007218829042261e-01
3.151246673346693683e+02	8.582105211488507690e-01
3.157242505010020750e+02	8.595341411263907050e-01
3.163238336673347249e+02	8.607781371223629518e-01
3.169234168336673747e+02	8.620089437389801823e-01
3.175230000000000246e+02	8.632267408678795384e-01
