T	B00KOD1A Rho_mr	Err
1.245061999999999784e+02	9.277147270281077551e-02	4.230397886514564165e-02
1.255061999999999784e+02	9.319410733134222968e-02	4.249670110908747300e-02
1.265061999999999784e+02	9.362593286264227210e-02	4.269361442324889899e-02
1.275061999999999784e+02	9.407118933889568879e-02	4.289665227542716758e-02
1.285061999999999784e+02	9.452517950060276841e-02	4.310367270580629101e-02
1.295061999999999784e+02	9.496495925673602290e-02	4.330421316255184117e-02
1.305061999999999784e+02	9.538297529228732807e-02	4.349482931876944014e-02
1.315061999999999784e+02	9.579532331379728149e-02	4.368286084914000528e-02
1.325061999999999784e+02	9.621598587590483864e-02	4.387468382681077722e-02
1.335061999999999784e+02	9.664879542810408952e-02	4.407204585648907130e-02
1.345061999999999784e+02	9.708488370842580095e-02	4.427090299281119523e-02
1.355061999999999784e+02	9.752264623289513823e-02	4.447052358784506915e-02
1.365061999999999784e+02	9.796304220388825368e-02	4.467134503981089882e-02
1.375061999999999784e+02	9.841595811358933021e-02	4.487787560910629775e-02
1.385061999999999784e+02	9.888071849570971572e-02	4.508980728173975910e-02
1.395061999999999784e+02	9.933920113304739452e-02	4.529887629007707528e-02
1.405061999999999784e+02	9.977298960245435666e-02	4.549668470797860881e-02
1.415061999999999784e+02	1.002000423922764921e-01	4.569142164238957499e-02
1.425061999999999784e+02	1.006369699746773594e-01	4.589066150215440759e-02
1.435061999999999784e+02	1.010787662358061251e-01	4.609212148924939773e-02
1.445061999999999784e+02	1.015223065012552939e-01	4.629437674583578716e-02
1.455061999999999784e+02	1.019760659053536439e-01	4.650129195027939699e-02
1.465061999999999784e+02	1.024353472631315681e-01	4.671072517675014385e-02
1.475061999999999784e+02	1.028968304263640221e-01	4.692116243095378197e-02
1.485061999999999784e+02	1.033793944095122708e-01	4.714121258160278854e-02
1.495061999999999784e+02	1.038552937807657311e-01	4.735822365577141424e-02
1.505061999999999784e+02	1.043070406607480571e-01	4.756422114515466981e-02
1.515061999999999784e+02	1.047427987521094145e-01	4.776292771464422243e-02
1.525061999999999784e+02	1.051862052444999529e-01	4.796512197044575793e-02
1.535061999999999784e+02	1.056452227584358528e-01	4.817443488359181986e-02
1.545061999999999784e+02	1.060946450891812748e-01	4.837937237382962385e-02
1.555061999999999784e+02	1.065545314458492820e-01	4.858908148101578894e-02
1.565061999999999784e+02	1.070413898403495684e-01	4.881108989191207392e-02
1.575061999999999784e+02	1.075240612027382053e-01	4.903118900771150090e-02
1.585061999999999784e+02	1.080067325651268978e-01	4.925128812351095564e-02
1.595061999999999784e+02	1.084925467686346096e-01	4.947282038120631720e-02
1.605061999999999784e+02	1.089601975635097336e-01	4.968607008789194257e-02
1.615061999999999784e+02	1.094103884969498119e-01	4.989135806251036864e-02
1.625061999999999784e+02	1.098632548915631779e-01	5.009786605282576938e-02
1.635061999999999784e+02	1.103293340145606316e-01	5.031039907396184230e-02
1.645061999999999784e+02	1.108080821570853886e-01	5.052870919358206508e-02
1.655061999999999784e+02	1.112882330856938967e-01	5.074765898648880835e-02
1.665061999999999784e+02	1.117748861173666480e-01	5.096957375152109948e-02
1.675061999999999784e+02	1.122611789742341132e-01	5.119132427611493980e-02
1.685061999999999784e+02	1.127499930547385953e-01	5.141422448377781784e-02
1.695061999999999784e+02	1.132446647149715629e-01	5.163979575962378971e-02
1.705061999999999784e+02	1.137186737153212251e-01	5.185594482084347756e-02
1.715061999999999784e+02	1.141853335986506846e-01	5.206874266986352695e-02
1.725061999999999784e+02	1.146649942414597056e-01	5.228746889145578086e-02
1.735061999999999784e+02	1.151367983712992399e-01	5.250261252727106420e-02
1.745061999999999784e+02	1.156230316503792793e-01	5.272433588427356127e-02
1.755061999999999784e+02	1.161207225750088695e-01	5.295128395078050471e-02
1.765061999999999784e+02	1.166113625177441632e-01	5.317501675530717647e-02
1.775061999999999784e+02	1.171170556993517964e-01	5.340561386715327735e-02
1.785061999999999784e+02	1.176243912091387428e-01	5.363695988396513514e-02
1.795061999999999784e+02	1.181245042662508737e-01	5.386501244777459202e-02
1.805061999999999784e+02	1.186148827970831265e-01	5.408862604794566209e-02
1.815061999999999784e+02	1.190980135177525934e-01	5.430893463204863880e-02
1.825061999999999784e+02	1.195838640546836862e-01	5.453048345785843631e-02
1.835061999999999784e+02	1.200697561155271847e-01	5.475205121865611008e-02
1.845061999999999784e+02	1.205604234262956237e-01	5.497579650306116950e-02
1.855061999999999784e+02	1.210649550051762224e-01	5.520586392171837609e-02
1.865061999999999784e+02	1.215729840299505787e-01	5.543752618276474864e-02
1.875061999999999784e+02	1.220837309835359208e-01	5.567042782483663799e-02
1.885061999999999784e+02	1.226091717397559122e-01	5.591002987057782508e-02
1.895061999999999784e+02	1.231277223576949797e-01	5.614648999935122065e-02
1.905061999999999784e+02	1.236233320521357704e-01	5.637248902068989903e-02
1.915061999999999784e+02	1.241094296563455546e-01	5.659415050967762928e-02
1.925061999999999784e+02	1.246119323202432849e-01	5.682329273900611766e-02
1.935061999999999500e+02	1.251169191521997459e-01	5.705356775398509606e-02
1.945061999999999500e+02	1.256209426293888043e-01	5.728340347724506648e-02
1.955061999999999500e+02	1.261436664005230746e-01	5.752176657230137491e-02
1.965061999999999500e+02	1.266515993540636431e-01	5.775338502467117219e-02
1.975061999999999500e+02	1.271783837863397493e-01	5.799359978940692856e-02
1.985061999999999500e+02	1.277209729746520417e-01	5.824102155480621185e-02
1.995061999999999500e+02	1.282391446868904328e-01	5.847730890181503799e-02
2.005061999999999500e+02	1.287489825499120166e-01	5.870979599675432703e-02
