T	B16KOD1A Rho_mr
1.147158693386773507e+02	1.020918038713385823e+00
1.153094146292585123e+02	1.024247951914296406e+00
1.159029599198396738e+02	1.027655199448019863e+00
1.164965052104208354e+02	1.030870659358814168e+00
1.170900505010019970e+02	1.034237977160482380e+00
1.176835957915831585e+02	1.037693681329981743e+00
1.182771410821643343e+02	1.041255704472922039e+00
1.188706863727454959e+02	1.044604048676598174e+00
1.194642316633266574e+02	1.048145787845267130e+00
1.200577769539078190e+02	1.051732844151333390e+00
1.206513222444889806e+02	1.054745542657572477e+00
1.212448675350701421e+02	1.057907890179769828e+00
1.218384128256513037e+02	1.061049447960282999e+00
1.224319581162324653e+02	1.064285100371148207e+00
1.230255034068136268e+02	1.067538415570219223e+00
1.236190486973947884e+02	1.070674914355572493e+00
1.242125939879759500e+02	1.074040630014937436e+00
1.248061392785571115e+02	1.077476940268921712e+00
1.253996845691382731e+02	1.080898677707863298e+00
1.259932298597194347e+02	1.084185598626137281e+00
1.265867751503005962e+02	1.087537896180588604e+00
1.271803204408817578e+02	1.091063831332281575e+00
1.277738657314629194e+02	1.094588347726966004e+00
1.283674110220440809e+02	1.098371960770293088e+00
1.289609563126252567e+02	1.101628973353736107e+00
1.295545016032064325e+02	1.105373671411850722e+00
1.301480468937875798e+02	1.108928406087742236e+00
1.307415921843687556e+02	1.111991179203228652e+00
1.313351374749499030e+02	1.115123867693676329e+00
1.319286827655310788e+02	1.118418897425625724e+00
1.325222280561122261e+02	1.121852904641424287e+00
1.331157733466934019e+02	1.125029771824187730e+00
1.337093186372745492e+02	1.128321601923086170e+00
1.343028639278557250e+02	1.131937031835787977e+00
1.348964092184369008e+02	1.135329335676692031e+00
1.354899545090180482e+02	1.138813105429178574e+00
1.360834997995992239e+02	1.142103855923693123e+00
1.366770450901803713e+02	1.145710102862866231e+00
1.372705903807615471e+02	1.149305200776475244e+00
1.378641356713426944e+02	1.153077956368727008e+00
1.384576809619238702e+02	1.156518343398760251e+00
1.390512262525050176e+02	1.160013159811484895e+00
1.396447715430861933e+02	1.163737083835041375e+00
1.402383168336673407e+02	1.167361997321076261e+00
1.408318621242485165e+02	1.170551039112159408e+00
1.414254074148296638e+02	1.173748867136724439e+00
