T	B28KUD3A Rho_mr	Err
2.608735999999999535e+02	2.319892963874232994e-01	7.916746781693552448e-02
2.618735999999999535e+02	2.327430430893072666e-01	7.942468751927844739e-02
2.628735999999999535e+02	2.335400150964743182e-01	7.969665806581190115e-02
2.638735999999999535e+02	2.343213038664848924e-01	7.996327663192130675e-02
2.648735999999999535e+02	2.350471014971649841e-01	8.021095857873196400e-02
2.658735999999999535e+02	2.357637353594160268e-01	8.045551334530852416e-02
2.668735999999999535e+02	2.365228481435361352e-01	8.071456424913077410e-02
2.678735999999999535e+02	2.372745345058834554e-01	8.097108085065614358e-02
2.688735999999999535e+02	2.379939915432755793e-01	8.121659903938450997e-02
2.698735999999999535e+02	2.387367722496011313e-01	8.147007654278133615e-02
2.708735999999999535e+02	2.394497540026486182e-01	8.171338500945381222e-02
2.718735999999999535e+02	2.401782742477581445e-01	8.196199606158774409e-02
2.728735999999999535e+02	2.409105130065054001e-01	8.221187607445969159e-02
2.738735999999999535e+02	2.416213447553399452e-01	8.245445084181073081e-02
2.748735999999999535e+02	2.423468086010267253e-01	8.270201888288036818e-02
2.758735999999999535e+02	2.430747512780752073e-01	8.295043283712404125e-02
2.768735999999999535e+02	2.438188899906757190e-01	8.320437376672089325e-02
2.778735999999999535e+02	2.445491506826145134e-01	8.345357875474106180e-02
2.788735999999999535e+02	2.453023531399834978e-01	8.371061273101473854e-02
2.798735999999999535e+02	2.460243806516095311e-01	8.395700810648989987e-02
2.808735999999999535e+02	2.467133475405241250e-01	8.419212138479387209e-02
2.818735999999999535e+02	2.474128455983916064e-01	8.443082847536478863e-02
2.828735999999999535e+02	2.480877317860686049e-01	8.466113664636673586e-02
2.838735999999999535e+02	2.488002082973380935e-01	8.490427269684230893e-02
2.848735999999999535e+02	2.494257209271556752e-01	8.511773190276822332e-02
2.858735999999999535e+02	2.499850758369250858e-01	8.530861446720976182e-02
2.868735999999999535e+02	2.507288856348930950e-01	8.556244315309970150e-02
2.878735999999999535e+02	2.514631013261790504e-01	8.581299780374831987e-02
2.888735999999999535e+02	2.521983356388905473e-01	8.606390006387795721e-02
2.898735999999999535e+02	2.529133609019306173e-01	8.630790588820481946e-02
2.908735999999999535e+02	2.536114402277912516e-01	8.654612882962645082e-02
2.918735999999999535e+02	2.543078961155759155e-01	8.678379776496400466e-02
2.928735999999999535e+02	2.550087592582638285e-01	8.702297069732274626e-02
2.938735999999999535e+02	2.557087296800720777e-01	8.726183898436977449e-02
2.948735999999999535e+02	2.564147472415316820e-01	8.750277088702834716e-02
2.958735999999999535e+02	2.571214951789375647e-01	8.774395203400603416e-02
2.968735999999999535e+02	2.578257556460210598e-01	8.798428431972260544e-02
2.978735999999999535e+02	2.585310067768929465e-01	8.822495467424155968e-02
2.988735999999999535e+02	2.592359154912364794e-01	8.846550817746641482e-02
2.998735999999999535e+02	2.597647311545371873e-01	8.864596907655691860e-02
