T	B30KUD3 Rho_mr	Err
2.312272000000000105e+02	6.397807709608992477e-01	2.911124249239243067e-01
2.322272000000000105e+02	6.419400790311510230e-01	2.920949511845129520e-01
2.332272000000000105e+02	6.440992727040053545e-01	2.930774253921091255e-01
2.342272000000000105e+02	6.462921256110266688e-01	2.940752151917394586e-01
2.352272000000000105e+02	6.484050191373272876e-01	2.950366219516263322e-01
2.362272000000000105e+02	6.505860055143422027e-01	2.960290122543002833e-01
2.372272000000000105e+02	6.528586814051876575e-01	2.970631230304907611e-01
2.382272000000000105e+02	6.551498808745747082e-01	2.981056623873956091e-01
2.392272000000000105e+02	6.574400798067264740e-01	2.991477464808196540e-01
2.402272000000000105e+02	6.596108513761543835e-01	3.001354888516679087e-01
2.412272000000000105e+02	6.617411855189697656e-01	3.011048314239396229e-01
2.422272000000000105e+02	6.639306994886270408e-01	3.021011019435341227e-01
2.432272000000000105e+02	6.661155894568254743e-01	3.030952684544764297e-01
2.442272000000000105e+02	6.683504913271260950e-01	3.041121913325320891e-01
2.452272000000000105e+02	6.705213183352924933e-01	3.050999589290613323e-01
2.462272000000000105e+02	6.728139917711430940e-01	3.061431689687545976e-01
2.472272000000000105e+02	6.750874376444696567e-01	3.071776301016257427e-01
2.482272000000000105e+02	6.772853741958250184e-01	3.081777330561628059e-01
2.492272000000000105e+02	6.795391144575041453e-01	3.092032277607640878e-01
2.502272000000000105e+02	6.817843397395875193e-01	3.102248479876210108e-01
2.512272000000000105e+02	6.839116104721033595e-01	3.111927966499139497e-01
2.522272000000000105e+02	6.861099627206673768e-01	3.121930887545911193e-01
2.532272000000000105e+02	6.882905036411509636e-01	3.131852763660668559e-01
2.542272000000000105e+02	6.905385892914869261e-01	3.142081981149075776e-01
2.552272000000000105e+02	6.926902227363558318e-01	3.151872322749097455e-01
2.562271999999999821e+02	6.949718142910140672e-01	3.162253998477876915e-01
2.572271999999999821e+02	6.972691504474423096e-01	3.172707315140688711e-01
2.582271999999999821e+02	6.995317326746111064e-01	3.183002494812182115e-01
2.592271999999999821e+02	7.018445724516260142e-01	3.193526355898786973e-01
2.602271999999999821e+02	7.039911662911587653e-01	3.203293766335561510e-01
2.612271999999999821e+02	7.061490293142889119e-01	3.213112453702072768e-01
2.622271999999999821e+02	7.082827352855719516e-01	3.222821221885929233e-01
2.632271999999999821e+02	7.104038897053976953e-01	3.232472878122270021e-01
2.642271999999999821e+02	7.125906150185039589e-01	3.242422894400265321e-01
2.652271999999999821e+02	7.147639929651212753e-01	3.252312177620917399e-01
2.662271999999999821e+02	7.169270287144279274e-01	3.262154401875829723e-01
2.672271999999999821e+02	7.191439995656775386e-01	3.272242041107681354e-01
2.682271999999999821e+02	7.213583747296794524e-01	3.282317869468632798e-01
2.692271999999999821e+02	7.235908950156486608e-01	3.292476261587298225e-01
2.702271999999999821e+02	7.257710537155209751e-01	3.302396398525544452e-01
2.712271999999999821e+02	7.278874488766432505e-01	3.312026399229164308e-01
2.722271999999999821e+02	7.300387157631856860e-01	3.321815072919048761e-01
2.732271999999999821e+02	7.322007941055416191e-01	3.331652940790154616e-01
2.742271999999999821e+02	7.343521268221179232e-01	3.341441914019219195e-01
2.752271999999999821e+02	7.364927499841652514e-01	3.351182156737298468e-01
2.762271999999999821e+02	7.386445840911352034e-01	3.360973411388062937e-01
2.772271999999999821e+02	7.408405412741929652e-01	3.370965434431033025e-01
2.782271999999999821e+02	7.431062065112155057e-01	3.381274642384013984e-01
2.792271999999999821e+02	7.453585447981264656e-01	3.391523210178054581e-01
2.802271999999999821e+02	7.475265886696164097e-01	3.401388222341877876e-01
2.812271999999999821e+02	7.496398517875076939e-01	3.411003971652811773e-01
2.822271999999999821e+02	7.517762231796271122e-01	3.420724868008666597e-01
2.832271999999999821e+02	7.538946456201307544e-01	3.430364093219234745e-01
2.842271999999999821e+02	7.560412285399118471e-01	3.440131453969061948e-01
2.852271999999999821e+02	7.582058526225441408e-01	3.449980905442843193e-01
2.862271999999999821e+02	7.603846024475477972e-01	3.459894631732347570e-01
2.872271999999999821e+02	7.625978588381640000e-01	3.469965369461506244e-01
2.882271999999999821e+02	7.648004766687477307e-01	3.479987699718147809e-01
2.892271999999999821e+02	7.670145742283991375e-01	3.490062264926479529e-01
2.902271999999999821e+02	7.691201818724718864e-01	3.499643180374810147e-01
2.912271999999999821e+02	7.712358390313002188e-01	3.509269823027560409e-01
2.922271999999999821e+02	7.733129965299454511e-01	3.518721284900529489e-01
2.932271999999999821e+02	7.754421548760350724e-01	3.528409360524406013e-01
2.942271999999999821e+02	7.775803542950404657e-01	3.538138574750439580e-01
2.952271999999999821e+02	7.797372349955210558e-01	3.547952792361974139e-01
2.962271999999999821e+02	7.819976184869802394e-01	3.558237967367600119e-01
2.972271999999999821e+02	7.840909469375054730e-01	3.567763010148728431e-01
2.982271999999999821e+02	7.863965544790721962e-01	3.578253963187850162e-01
2.992271999999999821e+02	7.885388891830356073e-01	3.588001993747331198e-01
3.002271999999999821e+02	7.898358940253534799e-01	3.593903612581828555e-01
