T	B07KOD2 Rho_mr
8.536350100200399993e+01	1.626057571673160673e+00
8.595556072144287896e+01	1.631131528032067735e+00
8.654762044088175799e+01	1.636387620987599600e+00
8.713968016032063701e+01	1.641808676346255380e+00
8.773173987975951604e+01	1.647183951154527426e+00
8.832379959919838086e+01	1.652608671418263064e+00
8.891585931863725989e+01	1.658103986370264460e+00
8.950791903807613892e+01	1.663678495530385160e+00
9.009997875751501795e+01	1.669231446173119027e+00
9.069203847695389697e+01	1.674525255794939493e+00
9.128409819639277600e+01	1.679784322601028501e+00
9.187615791583165503e+01	1.685128339085097959e+00
9.246821763527053406e+01	1.690546573298658428e+00
9.306027735470941309e+01	1.696018009716554698e+00
9.365233707414829212e+01	1.701458533719955257e+00
9.424439679358717115e+01	1.707085064146833808e+00
9.483645651302603596e+01	1.712705340609214311e+00
9.542851623246491499e+01	1.717984752771929413e+00
9.602057595190379402e+01	1.723377729840043671e+00
9.661263567134267305e+01	1.728728228413545898e+00
9.720469539078155208e+01	1.734257932848491279e+00
9.779675511022043111e+01	1.739558727960852202e+00
9.838881482965931013e+01	1.745004202495845202e+00
9.898087454909818916e+01	1.750674334187501291e+00
9.957293426853706819e+01	1.756285807151318545e+00
1.001649939879759472e+02	1.761872866742759447e+00
1.007570537074148262e+02	1.767059043466362667e+00
1.013491134268536911e+02	1.772188712355951434e+00
1.019411731462925701e+02	1.777339833343121178e+00
1.025332328657314491e+02	1.782818256799463486e+00
1.031252925851703282e+02	1.788112981227339304e+00
1.037173523046092072e+02	1.793518511078471489e+00
1.043094120240480862e+02	1.799026242495964212e+00
1.049014717434869652e+02	1.804697013665316874e+00
1.054935314629258443e+02	1.810187050165317890e+00
1.060855911823647233e+02	1.816025091664950075e+00
1.066776509018036023e+02	1.821623695467139870e+00
1.072697106212424814e+02	1.827434368848077195e+00
1.078617703406813462e+02	1.833354789476822289e+00
1.084538300601202252e+02	1.839153863223157215e+00
1.090458897795591042e+02	1.845175711152525322e+00
1.096379494989979833e+02	1.851195129244294968e+00
1.102300092184368623e+02	1.856937054154460975e+00
1.108220689378757413e+02	1.862254434466243058e+00
1.114141286573146203e+02	1.867639200606415750e+00
1.120061883767534994e+02	1.872903300558993678e+00
1.125982480961923784e+02	1.878425496621773716e+00
1.131903078156312574e+02	1.883892763231096668e+00
1.137823675350701222e+02	1.889383382651207643e+00
1.143744272545090013e+02	1.895023572625981201e+00
1.149664869739478803e+02	1.900854967051809785e+00
1.155585466933867593e+02	1.906529643637965288e+00
1.161506064128256384e+02	1.912437487527232083e+00
1.167426661322645174e+02	1.918330525000953024e+00
1.173347258517033964e+02	1.924080596057395232e+00
1.179267855711422754e+02	1.930190599499163273e+00
1.185188452905811545e+02	1.936193040259335918e+00
1.191109050100200335e+02	1.942290276529299753e+00
1.197029647294589125e+02	1.948381221195565338e+00
1.202950244488977773e+02	1.954216805962545545e+00
1.208870841683366564e+02	1.959708593712413238e+00
1.214791438877755354e+02	1.965041634077727251e+00
1.220712036072144144e+02	1.970687124978649285e+00
1.226632633266532935e+02	1.976323353018017093e+00
1.232553230460921725e+02	1.981940289681879408e+00
1.238473827655310515e+02	1.987708581102404226e+00
1.244394424849699305e+02	1.993414044109668604e+00
1.250315022044088096e+02	1.999214079481961059e+00
1.256235619238476886e+02	2.005095300138197700e+00
1.262156216432865534e+02	2.011085918315631105e+00
1.268076813627254325e+02	2.017067103676642326e+00
1.273997410821643115e+02	2.023089338261328418e+00
1.279918008016031905e+02	2.029262364331755109e+00
1.285838605210420837e+02	2.035302642353564284e+00
1.291759202404809628e+02	2.041484916965962348e+00
1.297679799599198418e+02	2.047896694230971537e+00
1.303600396793587208e+02	2.053705307024777493e+00
1.309520993987975999e+02	2.059311127599548374e+00
1.315441591182364789e+02	2.064926399759836606e+00
1.321362188376753579e+02	2.070656579687174315e+00
1.327282785571142369e+02	2.076425700425517995e+00
1.333203382765531160e+02	2.082251611202328601e+00
1.339123979959919950e+02	2.088116655331301086e+00
