T	B30KOD3 Rho_mr	Err
1.535144999999999982e+02	1.031642649713618853e-01	4.894813016767547709e-02
1.545144999999999982e+02	1.038254631993267979e-01	4.926184748963816085e-02
1.555144999999999982e+02	1.043378475887802997e-01	4.950495742501952873e-02
1.565144999999999982e+02	1.049646040598279095e-01	4.980233323956915342e-02
1.575144999999999982e+02	1.055364346317760882e-01	5.007364847917605138e-02
1.585144999999999982e+02	1.061407735959173787e-01	5.036038790673266763e-02
1.595144999999999982e+02	1.067477428930308364e-01	5.064837534280017262e-02
1.605144999999999982e+02	1.072728371997068442e-01	5.089751572567031979e-02
1.615144999999999982e+02	1.078837446322943178e-01	5.118737168053021092e-02
1.625144999999999982e+02	1.083486525171693110e-01	5.140795553939991186e-02
1.635144999999999982e+02	1.089970607905083738e-01	5.171560443869667456e-02
1.645144999999999982e+02	1.095041160726404061e-01	5.195618588382106690e-02
1.655144999999999982e+02	1.101520938527104504e-01	5.226363052788879360e-02
1.665144999999999982e+02	1.107268391750381581e-01	5.253632872293111794e-02
1.675144999999999982e+02	1.113479840299682333e-01	5.283104200587401128e-02
1.685144999999999982e+02	1.119485417973540980e-01	5.311598737701945377e-02
1.695144999999999982e+02	1.125192862868155952e-01	5.338678730537061573e-02
1.705144999999999982e+02	1.130740453486794167e-01	5.365000266176699062e-02
1.715144999999999982e+02	1.136259460395233345e-01	5.391186181292324103e-02
1.725144999999999982e+02	1.142281663345910692e-01	5.419759600005455424e-02
1.735144999999999982e+02	1.147539408170688835e-01	5.444705910449590403e-02
1.745144999999999982e+02	1.153902096933225041e-01	5.474894824978422669e-02
1.755144999999999982e+02	1.159265462037514655e-01	5.500342269724373123e-02
1.765144999999999982e+02	1.165605609381361873e-01	5.530424232461665646e-02
1.775144999999999982e+02	1.171243894802122543e-01	5.557176085806864174e-02
1.785144999999999982e+02	1.177727230380846563e-01	5.587937430727628330e-02
1.795144999999999982e+02	1.183488307717364962e-01	5.615271892273223514e-02
1.805144999999999982e+02	1.189169612245175173e-01	5.642227857463948115e-02
1.815144999999999982e+02	1.195012170254349804e-01	5.669948918630299955e-02
1.825144999999999982e+02	1.200413605494177333e-01	5.695576993941525723e-02
1.835144999999999982e+02	1.206459378430467938e-01	5.724262244665884181e-02
1.845144999999999982e+02	1.211788688075137593e-01	5.749548107194303592e-02
1.855144999999999982e+02	1.218087165082155782e-01	5.779432357567555051e-02
1.865144999999999982e+02	1.223842004397513589e-01	5.806737221706350510e-02
1.875144999999999982e+02	1.230443697035123463e-01	5.838060132856099510e-02
1.885144999999999982e+02	1.235903503569586448e-01	5.863965161211937005e-02
1.895144999999999982e+02	1.242515301609706940e-01	5.895336019250816545e-02
1.905144999999999982e+02	1.247881325768886440e-01	5.920796080358149693e-02
1.915144999999999982e+02	1.254023527348733513e-01	5.949938854024004742e-02
1.925144999999999982e+02	1.259471112579269025e-01	5.975785896218098470e-02
1.935144999999999982e+02	1.265596634740356607e-01	6.004849531399248513e-02
1.945144999999999982e+02	1.271219948641385267e-01	6.031530349692060256e-02
1.955144999999999982e+02	1.277056131556231211e-01	6.059221163083454431e-02
1.965144999999999982e+02	1.283280892031229414e-01	6.088755652189483530e-02
1.975144999999999982e+02	1.289550900382746557e-01	6.118504827936305235e-02
1.985144999999999982e+02	1.295522496158962311e-01	6.146838131861272897e-02
1.995144999999999982e+02	1.301821613154537371e-01	6.176725418774665216e-02
2.005144999999999982e+02	1.307545539129726375e-01	6.203883609043502056e-02
2.015144999999999982e+02	1.313080447395423289e-01	6.230144970991912529e-02
2.025144999999999982e+02	1.318874747740166609e-01	6.257637065040548563e-02
2.035144999999999982e+02	1.324760448600667551e-01	6.285562825179273616e-02
2.045144999999999982e+02	1.331120228019218865e-01	6.315737935805355863e-02
