file FFTd=BaFe2P2_00828a_1.dat
Selected B range, Bmin=4.000 T Bmax=5.000 T
Subtracted Poly order =3
Padding =8
F[T]	Amp
 1.34808636474609E+0004	 1.03814957149694E-0006
 1.34823815917968E+0004	 9.98262880349751E-0007
 1.34838995361328E+0004	 9.56678330249203E-0007
 1.34854174804687E+0004	 9.13567165844676E-0007
 1.34869354248046E+0004	 8.69163763227197E-0007
 1.34884533691406E+0004	 8.23776995453880E-0007
 1.34899713134765E+0004	 7.77804239207928E-0007
 1.34914892578125E+0004	 7.31748757144082E-0007
 1.34930072021484E+0004	 6.86240924817400E-0007
 1.34945251464843E+0004	 6.42062792204035E-0007
 1.34960430908203E+0004	 6.00173011810266E-0007
 1.34975610351562E+0004	 5.61724090120482E-0007
 1.34990789794921E+0004	 5.28055324543543E-0007
 1.35005969238281E+0004	 5.00634344033865E-0007
 1.35021148681640E+0004	 4.80916795780476E-0007
 1.35036328125000E+0004	 4.70115741491733E-0007
 1.35051507568359E+0004	 4.68931829150121E-0007
 1.35066687011718E+0004	 4.77360472571886E-0007
 1.35081866455078E+0004	 4.94685769883494E-0007
 1.35097045898437E+0004	 5.19665803791501E-0007
 1.35112225341796E+0004	 5.50803768310403E-0007
 1.35127404785156E+0004	 5.86584785818809E-0007
 1.35142584228515E+0004	 6.25621587801737E-0007
 1.35157763671875E+0004	 6.66714876832521E-0007
 1.35172943115234E+0004	 7.08859193097241E-0007
 1.35188122558593E+0004	 7.51222747207704E-0007
 1.35203302001953E+0004	 7.93119052813937E-0007
 1.35218481445312E+0004	 8.33979142566407E-0007
 1.35233660888671E+0004	 8.73327728442273E-0007
 1.35248840332031E+0004	 9.10764012981757E-0007
 1.35264019775390E+0004	 9.45946780526627E-0007
 1.35279199218750E+0004	 9.78583080438124E-0007
 1.35294378662109E+0004	 1.00841981296538E-0006
 1.35309558105468E+0004	 1.03523763130676E-0006
 1.35324737548828E+0004	 1.05884669083915E-0006
 1.35339916992187E+0004	 1.07908387642945E-0006
 1.35355096435546E+0004	 1.09581121399852E-0006
 1.35370275878906E+0004	 1.10891522546720E-0006
 1.35385455322265E+0004	 1.11830702214795E-0006
 1.35400634765625E+0004	 1.12392295599588E-0006
 1.35415814208984E+0004	 1.12572566555903E-0006
 1.35430993652343E+0004	 1.12370536761513E-0006
 1.35446173095703E+0004	 1.11788125905082E-0006
 1.35461352539062E+0004	 1.10830290843774E-0006
 1.35476531982421E+0004	 1.09505153429252E-0006
 1.35491711425781E+0004	 1.07824108804946E-0006
 1.35506890869140E+0004	 1.05801908492824E-0006
 1.35522070312500E+0004	 1.03456715561094E-0006
 1.35537249755859E+0004	 1.00810132636802E-0006
 1.35552429199218E+0004	 9.78872075391817E-0007
 1.35567608642578E+0004	 9.47164258904576E-0007
 1.35582788085937E+0004	 9.13297052015436E-0007
 1.35597967529296E+0004	 8.77624105163088E-0007
 1.35613146972656E+0004	 8.40534173750476E-0007
 1.35628326416015E+0004	 8.02452527712337E-0007
 1.35643505859375E+0004	 7.63843471071563E-0007
 1.35658685302734E+0004	 7.25214263364849E-0007
 1.35673864746093E+0004	 6.87120570185914E-0007
 1.35689044189453E+0004	 6.50173170544574E-0007
 1.35704223632812E+0004	 6.15044855526147E-0007
 1.35719403076171E+0004	 5.82475087337899E-0007
 1.35734582519531E+0004	 5.53267985590445E-0007
 1.35749761962890E+0004	 5.28276947856247E-0007
 1.35764941406250E+0004	 5.08368044384789E-0007
 1.35780120849609E+0004	 4.94356860517954E-0007
 1.35795300292968E+0004	 4.86922397755689E-0007
 1.35810479736328E+0004	 4.86516113668348E-0007
 1.35825659179687E+0004	 4.93295994156602E-0007
 1.35840838623046E+0004	 5.07112634150497E-0007
 1.35856018066406E+0004	 5.27553457269019E-0007
 1.35871197509765E+0004	 5.54025782627419E-0007
 1.35886376953125E+0004	 5.85847522986859E-0007
 1.35901556396484E+0004	 6.22320605963384E-0007
 1.35916735839843E+0004	 6.62777057878485E-0007
 1.35931915283203E+0004	 7.06599913598351E-0007
 1.35947094726562E+0004	 7.53226573496176E-0007
 1.35962274169921E+0004	 8.02142489803484E-0007
 1.35977453613281E+0004	 8.52871069050351E-0007
 1.35992633056640E+0004	 9.04963403418685E-0007
 1.36007812500000E+0004	 9.57989685629820E-0007
 1.36022991943359E+0004	 1.01153303004288E-0006
 1.36038171386718E+0004	 1.06518577907361E-0006
 1.36053350830078E+0004	 1.11854804884264E-0006
 1.36068530273437E+0004	 1.17122812981801E-0006
 1.36083709716796E+0004	 1.22284432192985E-0006
 1.36098889160156E+0004	 1.27302779886971E-0006
 1.36114068603515E+0004	 1.32142613506665E-0006
 1.36129248046875E+0004	 1.36770717635065E-0006
 1.36144427490234E+0004	 1.41156298412699E-0006
 1.36159606933593E+0004	 1.45271362951293E-0006
 1.36174786376953E+0004	 1.49091065689654E-0006
 1.36189965820312E+0004	 1.52594007534366E-0006
 1.36205145263671E+0004	 1.55762477122612E-0006
 1.36220324707031E+0004	 1.58582626656639E-0006
 1.36235504150390E+0004	 1.61044577511631E-0006
 1.36250683593750E+0004	 1.63142453232197E-0006
 1.36265863037109E+0004	 1.64874339626445E-0006
 1.36281042480468E+0004	 1.66242173460029E-0006
 1.36296221923828E+0004	 1.67251562767791E-0006
 1.36311401367187E+0004	 1.67911543065789E-0006
 1.36326580810546E+0004	 1.68234274797595E-0006
 1.36341760253906E+0004	 1.68234688230603E-0006
 1.36356939697265E+0004	 1.67930082783043E-0006
 1.36372119140625E+0004	 1.67339688467134E-0006
 1.36387298583984E+0004	 1.66484197833299E-0006
